number,value,params_model_params.block_0_channels,params_model_params.block_1_channels,params_model_params.block_kernel_size_0,params_model_params.block_kernel_size_1,params_model_params.block_stride_0,params_model_params.block_stride_1,params_model_params.classifier_dropout,params_model_params.rnn_dropout,params_model_params.rnn_hidden_size,params_model_params.rnn_num_layers,params_model_params.rnn_type,params_model_params.se_reduction_ratio,params_model_params.use_depthwise,params_model_params.use_se,params_train_params.augmentations.channel_mask_max_channels,params_train_params.augmentations.channel_mask_prob,params_train_params.augmentations.enable,params_train_params.augmentations.noise_level,params_train_params.augmentations.time_mask_max_width,params_train_params.augmentations.time_mask_prob,params_train_params.batch_size,params_train_params.max_lr,params_train_params.weight_decay,state,user_attrs_best_model_relative_path,user_attrs_best_val_levenshtein,user_attrs_final_levenshtein_slope,user_attrs_final_slope_window,datetime_start,duration
37,2.469333333333333,128,192,11,11,2,2,0.46511503158973555,0.40179723656110783,192,2,GRU,4,True,True,6,0.06356017675144936,False,0.028718415483398516,48,0.42313277902721247,8,0.0003,2.309725314947428e-06,PRUNED,,,,,2025-05-03 21:46:19.698392,0 days 00:01:54.847271
38,0.232,128,192,11,7,4,2,0.3018222878150316,0.3628320628832985,320,3,GRU,8,False,True,2,0.04496270234719929,False,0.03957494054532621,39,0.2651592490483544,8,0.0003,0.000334883888991948,PRUNED,,,,,2025-05-03 21:48:14.683154,0 days 00:07:55.292078
39,2.2053333333333334,96,192,7,5,4,2,0.4184645457248271,0.32765558577549,256,2,LSTM,8,True,False,6,0.10200774603368491,False,0.033892548778464614,61,0.49398454238077305,8,0.0003,2.1794656044021826e-05,PRUNED,,,,,2025-05-03 21:56:10.113636,0 days 00:00:59.571474
40,0.964,96,128,11,7,2,2,0.004124884868635326,0.43528298685760697,320,3,GRU,12,False,True,2,0.07934769850397755,False,0.02408269619461362,50,0.3108769889067061,8,0.0003,3.5046848792004757e-06,PRUNED,,,,,2025-05-03 21:57:09.820174,0 days 00:02:47.763630
41,0.36133333333333334,64,256,5,7,4,2,0.4742095930418899,0.48274587589841306,384,3,GRU,8,False,True,5,0.016485511291723338,False,0.020642880228183128,66,0.3536060219313289,8,0.0003,1.4206326675586091e-06,PRUNED,,,,,2025-05-03 21:59:57.720376,0 days 00:03:46.359634
42,0.18133333333333335,96,192,7,7,4,2,0.49708454343829167,0.4940802183949887,384,3,GRU,8,False,True,3,0.014473736166836533,False,0.022203196827932453,72,0.3919174742560819,8,0.0003,1.0302999607102307e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.18133333333333335,-0.004266666666666663,4.0,2025-05-03 22:03:44.239110,0 days 00:14:55.740370
43,0.37466666666666665,96,192,7,7,4,2,0.25521006472678553,0.4655307802684011,384,3,GRU,8,False,True,3,0.029975691904745187,False,0.029837838327285655,71,0.4115795465556977,8,0.0003,2.467413215553421e-06,PRUNED,,,,,2025-05-03 22:18:40.127557,0 days 00:03:45.697652
44,7.094666666666667,96,128,7,11,4,2,0.4666951979024337,0.43477944058376045,320,3,LSTM,4,False,True,2,0.013192481759320411,False,0.018054547072870696,66,0.0030894557160809355,8,0.0003,1.4114572681774478e-06,PRUNED,,,,,2025-05-03 22:22:25.978014,0 days 00:01:48.208454
45,0.41333333333333333,128,192,7,7,4,2,0.4991152114697413,0.07991926424213727,384,3,GRU,8,False,True,1,0.05383151787061628,False,0.012997297681517486,77,0.47246677141243326,8,0.0003,5.420284998319974e-05,PRUNED,,,,,2025-05-03 22:24:14.349167,0 days 00:03:46.959278
46,2.7053333333333334,96,192,7,7,4,2,0.4407355160908406,0.40990019898260777,192,3,GRU,8,True,True,3,0.24280249198305145,False,0.03071524414683009,41,0.4352685060799188,8,0.0003,2.158658344563824e-06,PRUNED,,,,,2025-05-03 22:28:01.449055,0 days 00:01:26.908292
47,3.1893333333333334,96,192,7,7,2,2,0.4012919209227482,0.49367742019829314,384,3,LSTM,12,False,True,4,0.0335583090731755,False,0.02342581082462208,58,0.3818078858487579,8,0.0003,6.404733552757003e-06,PRUNED,,,,,2025-05-03 22:29:28.495810,0 days 00:04:55.164832
48,0.37466666666666665,96,128,11,7,4,2,0.20603153280346717,0.3758781948852576,256,3,GRU,8,False,True,6,8.646238095631059e-05,False,5.810628536339485e-05,76,0.35316532165735226,8,0.0003,3.6654695936721444e-06,PRUNED,,,,,2025-05-03 22:34:23.801392,0 days 00:03:04.214018
49,0.37066666666666664,96,192,7,7,4,2,0.04815688940593221,0.4433038384413555,320,2,GRU,4,False,True,2,0.01407159275318653,False,0.027292651188562757,72,0.4704150089843311,8,0.0003,1.2244214096652264e-06,PRUNED,,,,,2025-05-03 22:37:28.157362,0 days 00:02:16.557125
50,0.43333333333333335,128,192,7,11,4,2,0.1621873541107356,0.17891366172594864,384,3,GRU,8,False,False,3,0.07152748912663874,False,0.022193939802843718,63,0.33807403807955105,8,0.0003,0.00012602940672570422,PRUNED,,,,,2025-05-03 22:39:44.857365,0 days 00:03:52.070843
51,0.3546666666666667,64,256,5,7,4,2,0.47622046036954035,0.4991955117376184,384,3,GRU,8,False,True,5,0.009732480948088915,False,0.017735302904966662,79,0.40349069375263547,8,0.0003,1.188469120563522e-06,PRUNED,,,,,2025-05-03 22:43:37.075731,0 days 00:03:50.012064
52,0.38133333333333336,64,256,5,7,4,2,0.49865283356689694,0.47418476584275504,384,3,GRU,8,False,True,5,0.014241204263951904,False,0.025604090805028384,72,0.3182759227337056,8,0.0003,1.071436034677527e-06,PRUNED,,,,,2025-05-03 22:47:27.230213,0 days 00:03:49.254485
53,0.29333333333333333,64,256,5,7,4,2,0.47755895930095577,0.48373185172515026,384,3,GRU,8,False,True,6,0.05082394064627499,False,0.021698760086031773,80,0.28583703916012093,8,0.0003,1.821149424870677e-06,PRUNED,,,,,2025-05-03 22:51:16.628593,0 days 00:05:43.043371
54,0.38533333333333336,96,256,5,7,4,2,0.4477915056263516,0.4513000098381478,384,3,GRU,8,False,True,4,0.03549159832069362,False,0.014735601009217688,69,0.35700938685634465,8,0.0003,2.8289556861394973e-06,PRUNED,,,,,2025-05-03 22:56:59.820505,0 days 00:03:52.470559
55,0.17733333333333334,64,256,5,5,4,2,0.42716370637644663,0.27973176624282464,384,3,GRU,4,False,True,5,0.0010755199726055894,False,0.01907499589150143,76,0.39542036212176707,8,0.0003,1.0342832443010124e-06,COMPLETE,MorseAudioDecoder/best_model.pth,0.17733333333333334,-0.011199999999999998,4.0,2025-05-03 23:00:52.436404,0 days 00:15:01.936352
56,0.244,64,256,7,5,4,2,0.3812157592479162,0.2993109431482183,320,3,GRU,4,True,True,4,0.13169656932723714,False,0.01869416135375373,75,0.39071944513843276,8,0.0003,1.4043854566809796e-06,PRUNED,,,,,2025-05-03 23:15:54.522583,0 days 00:07:49.967437
57,0.2786666666666667,96,256,5,5,4,2,0.4267246867768887,0.25688246760590633,384,3,GRU,4,False,True,6,0.020541366423833033,False,0.03543486298440883,67,0.4370630220187576,8,0.0003,1.8816760153131318e-06,PRUNED,,,,,2025-05-03 23:23:44.634835,0 days 00:07:35.613895
58,8.368,96,256,11,5,2,2,0.3683010395641592,0.2728992989154081,320,3,LSTM,4,False,True,5,0.033116251960466664,False,0.03202956702342092,72,0.3754665292620733,8,0.0003,1.415840171287733e-06,PRUNED,,,,,2025-05-03 23:31:20.389937,0 days 00:03:34.327034
59,0.37866666666666665,64,192,7,5,4,2,0.44173763532486315,0.23657040117542222,256,3,GRU,4,False,True,6,0.0009996994947850453,False,0.0294561885743789,77,0.4006339617062301,8,0.0003,4.559876361490956e-06,PRUNED,,,,,2025-05-03 23:34:54.859865,0 days 00:03:04.334386
